Ticker,SimFinId,Fiscal_Year,Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expenses,Operating_Income,Net_Interest_Expense,Net_Income_Tax,Net_Income,Common_Net_Income,Basic_Shares,Diluted_Shares,Research_Development,Depreciation_Amortization
ACAN,654226,2023,2552200.0,-16170.0,2536030.0,-1924360.0,611670.0,-706425.0,,-94755,-94755,24391961.0,24391961.0,,
ACAN,654226,2024,1274810.0,-2354.0,1272456.0,-2018064.0,-745608.0,-508721.0,,-1254329,-1254329,24391961.0,24391961.0,,
ACAQ,11819344,2022,,,,-4515112.0,-4515112.0,,-690232.0,-2246145,-2246145,31248997.0,31248997.0,,
ACBA,15585600,2021,,,,1024127.0,1024127.0,-42.0,,1002595,1002595,3352329.0,3352329.0,,
ACBA,15585600,2022,,,,-838852.0,-838852.0,12.0,,1084218,1084218,4600000.0,4600000.0,,
ACBA,15585600,2023,,,,-1462823.0,-1462823.0,283.0,,-227215,-227215,1454000.0,1454000.0,,
ACBM,12442266,2020,,,,-71541.0,-71541.0,-1558.0,,-73099,-73099,47661235.0,47661235.0,,
ACBM,12442266,2021,687964.0,-528560.0,159404.0,-289867.0,-130463.0,-5082.0,18092.0,-117453,-117453,47661235.0,47661235.0,,
ACC,445593,2020,870584000.0,-378454000.0,492130000.0,-339790000.0,152340000.0,-109568000.0,-1349000.0,72803000,72803000,137588964.0,138710430.0,,-267703000.0
ACC,445593,2021,942409000.0,-407648000.0,534761000.0,-363868000.0,170893000.0,-116419000.0,-1361000.0,35489000,35489000,137588964.0,138710430.0,,-275597000.0
ACCD,10384289,2019,132507000.0,-73685000.0,58822000.0,-107026000.0,-48204000.0,-2925000.0,-129000.0,-51365000,-290066699,46653451.0,46653451.0,,-8516000.0
ACCD,10384289,2020,170358000.0,-93673000.0,76685000.0,-123462000.0,-46777000.0,-3719105.0,-4000.0,-50652000,-50652000,29370594.0,29370594.0,,-8212000.0
ACCD,10384289,2021,310021000.0,-169019000.0,141002000.0,-312143000.0,-171141000.0,-2905000.0,5639000.0,-123124000,-123124000,63823270.0,63823270.0,,-42608000.0
ACCD,10384289,2022,363142000.0,-198905000.0,164237000.0,-328046000.0,-163809000.0,255000.0,3624000.0,-459650000,-459650000,71279831.0,71279831.0,,-46377000.0
ACCD,10384289,2023,414292000.0,-222232000.0,192060000.0,-306513000.0,-114453000.0,5952000.0,-1235000.0,-99805000,-99805000,74906938.0,74906938.0,,-45164000.0
ACCO,120923,2020,1655200000.0,-1162800000.0,492400000.0,-369100000.0,123300000.0,-37800000.0,-16600000.0,62000000,62000000,94900000.0,96100000.0,,-32800000.0
ACCO,120923,2021,2025300000.0,-1410400000.0,614900000.0,-438900000.0,176000000.0,-44400000.0,-9500000.0,101900000,101900000,95600000.0,97300000.0,,-46300000.0
ACCO,120923,2022,1947600000.0,-1395300000.0,552300000.0,-418200000.0,134100000.0,-37300000.0,-28100000.0,-13200000,-13200000,95300000.0,95300000.0,,-41500000.0
ACCO,120923,2023,1832800000.0,-1234500000.0,598300000.0,-436900000.0,161400000.0,-51500000.0,-8700000.0,-21800000,-21800000,95300000.0,95300000.0,,-43400000.0
ACCO,120923,2024,1666200000.0,-1110800000.0,555400000.0,-410400000.0,145000000.0,-45100000.0,-14300000.0,-101600000,-101600000,95600000.0,95600000.0,,-44700000.0
ACEL,11795228,2020,316352000.0,-211086000.0,105266000.0,-129945000.0,-24679000.0,-13707000.0,16918000.0,-410000,-410000,93471000.0,94280000.0,,-43577000.0
ACEL,11795228,2021,734707000.0,-494032000.0,240675000.0,-170483000.0,70192000.0,-12702000.0,-15017000.0,31559000,31559000,93781000.0,94638000.0,,-46676000.0
ACEL,11795228,2022,969797000.0,-670901000.0,298896000.0,-202041000.0,96855000.0,-21637000.0,-20660000.0,74102000,74102000,90629000.0,91229000.0,,-46779000.0
ACEL,11795228,2023,1170420000.0,-817195000.0,353225000.0,-245818000.0,107407000.0,-33144000.0,-20121000.0,45603000,45603000,85949000.0,86803000.0,,-59117000.0
ACER,1053636,2020,,,,-10954923000.0,-10954923000.0,-11847902000.0,,-22885449000,-22885449000,11121039.0,11121039.0,,
ACER,1053636,2021,1260000.0,,,-17208389.0,-15948389.0,,,-15373993,-15373993,14268245.0,14268245.0,,
ACER,1053636,2022,,,,-24614259.0,-24614259.0,,,-26237315,-26237315,16089019.0,16089019.0,,
ACET,1154966,2020,17903000.0,,,-57094000.0,-39191000.0,651000.0,2815000.0,-36678000,-36678000,457499.0,457499.0,-34334000.0,
ACET,1154966,2021,9730000.0,,,-71163000.0,-61433000.0,-85000.0,125000.0,-61999000,-61999000,1992251.0,1992251.0,-48943000.0,
ACET,1154966,2022,24990000.0,,,-97541000.0,-72551000.0,3680000.0,,-69790000,-69790000,2567518.0,2567518.0,-71246000.0,
ACET,1154966,2023,,,,-132576000.0,-132576000.0,9953000.0,,-142658000,-142658000,2690150.0,2690150.0,-106043000.0,
ACET,1154966,2024,,,,-127615000.0,-127615000.0,10710000.0,,-117122000,-117122000,5491652.0,5491652.0,-99323000.0,
ACHC,445598,2020,2089929000.0,-1362252000.0,727677000.0,-362071000.0,365606000.0,-158105000.0,-40606000.0,-672132000,-672132000,87875000.0,88595000.0,,-95256000.0
ACHC,445598,2021,2314394000.0,-1373025000.0,941369000.0,-526895000.0,414474000.0,-76993000.0,-67557000.0,200489000,200489000,88962000.0,90889000.0,,-106717000.0
ACHC,445598,2022,2610399000.0,-1539096000.0,1071303000.0,-603608000.0,467695000.0,-69760000.0,-94110000.0,273139000,273139000,89680000.0,91555000.0,,-117769000.0
ACHC,445598,2023,2928738000.0,-1724874000.0,1203864000.0,-1085030000.0,118834000.0,-82125000.0,9699000.0,-21667000,-21667000,90949000.0,90949000.0,,-132349000.0
ACHC,445598,2024,3153963000.0,-1851598000.0,1302365000.0,-780089000.0,522276000.0,-116368000.0,-77395000.0,255612000,255612000,91621000.0,92059000.0,,-149595000.0
ACHR,11795330,2020,,,,-24600000.0,-24600000.0,200000.0,,-24400000,-24400000,240633554.0,240633554.0,-21100000.0,
ACHR,11795330,2021,,,,-241000000.0,-241000000.0,-1000000.0,,-347800000,-347800000,110836238.0,110836238.0,-64300000.0,
ACHR,11795330,2022,,,,-336600000.0,-336600000.0,2300000.0,,-317300000,-317300000,240476894.0,240476894.0,-171500000.0,
ACHR,11795330,2023,,,,-444800000.0,-444800000.0,16400000.0,-500000.0,-457900000,-457900000,270408132.0,270408132.0,-276400000.0,
ACHR,11795330,2024,,,,-509700000.0,-509700000.0,21900000.0,-200000.0,-536800000,-536800000,376734395.0,376734395.0,-357700000.0,
ACHV,12444293,2020,,,,-14750000.0,-14750000.0,69000.0,,-14730000,-14730000,2718909.0,2718909.0,-6882000.0,
ACHV,12444293,2021,,,,-33094000.0,-33094000.0,17000.0,,-33152000,-33152000,8119836.0,8119836.0,-23966000.0,
ACHV,12444293,2022,,,,-40800000.0,-40800000.0,-1590000.0,,-42350000,-42350000,10593034.0,10593034.0,-30078000.0,
ACHV,12444293,2023,,,,-27250000.0,-27250000.0,-2028000.0,,-29815000,-29815000,19827354.0,19827354.0,-15814000.0,
ACHV,12444293,2024,,,,-39069000.0,-39069000.0,176000.0,,-39827000,-39827000,32071146.0,32071146.0,-22817000.0,
ACI,1077533,2019,62455100000.0,-44860900000.0,17594200000.0,-16641900000.0,952300000.0,-698000000.0,-132800000.0,466400000,466400000,579400000.0,580300000.0,,
ACI,1077533,2020,69690400000.0,-49275900000.0,20414500000.0,-18835800000.0,1578700000.0,-538200000.0,-278500000.0,850200000,850200000,500300000.0,578100000.0,,
ACI,1077533,2021,71887000000.0,-51164600000.0,20722400000.0,-18300500000.0,2421900000.0,-481900000.0,-479900000.0,1619600000,1619600000,479026753.0,479026753.0,,
ACI,1077533,2022,77649700000.0,-55894100000.0,21755600000.0,-19596000000.0,2159600000.0,-404600000.0,-422000000.0,1513500000,1513500000,529000000.0,534000000.0,,
ACI,1077533,2023,79237700000.0,-57192000000.0,22045700000.0,-19932900000.0,2112800000.0,-492100000.0,-293000000.0,1296000000,1296000000,575400000.0,581100000.0,,
ACIA,353923,2020,583451000.0,-299351000.0,284100000.0,-194784000.0,89316000.0,5598000.0,-4452000.0,90391000,90391000,41938000.0,43233000.0,-134398000.0,
ACIW,1057787,2020,1294322000.0,-622459000.0,671863000.0,-527119000.0,144744000.0,-45002000.0,-25966000.0,72660000,72660000,116397000.0,118079000.0,-139293000.0,-131791000.0
ACIW,1057787,2021,1370598000.0,-638871000.0,731727000.0,-521830000.0,209897000.0,-33538000.0,-47274000.0,127791000,127791000,117512000.0,118540000.0,-144310000.0,-127180000.0
ACIW,1057787,2022,1421901000.0,-696071000.0,725830000.0,-521995000.0,203835000.0,-40646000.0,-64458000.0,142177000,142177000,113700000.0,114238000.0,-146311000.0,-126678000.0
ACIW,1057787,2023,1452579000.0,-719211000.0,733368000.0,-512960000.0,220408000.0,-64271000.0,-26118000.0,121509000,121509000,108497000.0,108857000.0,-140758000.0,-122373000.0
ACIW,1057787,2024,1594288000.0,-791783000.0,802505000.0,-494370000.0,308135000.0,-56545000.0,-47291000.0,203118000,203118000,105491000.0,106493000.0,-146677000.0,-110962000.0
ACLS,670942,2020,474560000.0,-275976000.0,198584000.0,-140543000.0,58041000.0,-4473000.0,-5904000.0,49982000,49982000,33257000.0,34128000.0,-61833000.0,
ACLS,670942,2021,662428000.0,-375983000.0,286445000.0,-159120000.0,127325000.0,-4626000.0,-21778000.0,98650000,98650000,33537000.0,34089000.0,-65431000.0,
ACLS,670942,2022,919998000.0,-518208000.0,401790000.0,-189429000.0,212361000.0,-1025000.0,-21806000.0,183079000,183079000,33555000.0,34268000.0,-78356000.0,
ACLS,670942,2023,1130604000.0,-639303000.0,491301000.0,-225506000.0,265795000.0,12852000.0,-32336000.0,246263000,246263000,32758000.0,33165000.0,-96907000.0,
ACLS,670942,2024,1017865000.0,-563211000.0,454654000.0,-243860000.0,210794000.0,18941000.0,-29282000.0,200992000,200992000,32552000.0,32704000.0,-105497000.0,
ACLX,1342109,2020,,,,-32096000.0,-32096000.0,,,-32095000,-32095000,33543534.0,33543534.0,-25056000.0,
ACLX,1342109,2021,,,,-65018000.0,-65018000.0,-10000.0,,-64969000,-64969000,33543534.0,33543534.0,-46883000.0,
ACLX,1342109,2022,,,,-191259000.0,-191259000.0,-1720000.0,,-188679000,-188679000,36355758.0,36355758.0,-149555000.0,
ACLX,1342109,2023,110319000.0,,,-200199000.0,-89880000.0,-3842000.0,-663000.0,-70690000,-70690000,48061450.0,48061450.0,-133849000.0,
ACLX,1342109,2024,107936000.0,,,-245507000.0,-137571000.0,-1030000.0,-2069000.0,-107348000,-107348000,53566153.0,53566153.0,-157093000.0,
ACM,445606,2020,13239976000.0,-12530416000.0,709560000.0,-188535000.0,521025000.0,-159914000.0,-45753000.0,-186370000,-186370000,159005000.0,161292000.0,,
ACM,445606,2021,13340852000.0,-12542431000.0,798421000.0,-155072000.0,643349000.0,-231632000.0,-89011000.0,262570000,262570000,143812000.0,146581000.0,,
ACM,445606,2022,13148182000.0,-12300208000.0,847974000.0,-147309000.0,700665000.0,-102064000.0,-136051000.0,310611000,310611000,140768000.0,142696000.0,,
ACM,445606,2023,14378461000.0,-13432996000.0,945465000.0,-153575000.0,791890000.0,-119091000.0,-56052000.0,55332000,55332000,138614000.0,140109000.0,,
ACM,445606,2024,16105498000.0,-15021157000.0,1084341000.0,-160105000.0,924236000.0,-126860000.0,-152900000.0,402266000,402266000,135544000.0,136453000.0,,
ACMR,7962770,2020,156624000.0,-87025000.0,69599000.0,-48107000.0,21492000.0,-85000.0,2382000.0,18780000,18780000,164100249.0,190651221.0,-19119000.0,
ACMR,7962770,2021,259751000.0,-144895000.0,114856000.0,-76154000.0,38702000.0,-260000.0,-134000.0,37757000,37757000,172964124.0,196070148.0,-34207000.0,
ACMR,7962770,2022,388832000.0,-205217000.0,183615000.0,-124580000.0,59035000.0,7085000.0,-16798000.0,39263000,39263000,59235975.0,65341771.0,-62226000.0,
